fingerprint,file,name,lat,lon,n_identical
0f2b765e38c377d335425be6d766ea72,harmonics/att/harmonics_att_np202_secondary.txt,"Guba Korelinskiy, Russia",69.4167,33.4167,3
0f2b765e38c377d335425be6d766ea72,harmonics/att/harmonics_att_np202_secondary.txt,"Bukhta Nasha, Russia",69.3833,32.9167,3
0f2b765e38c377d335425be6d766ea72,harmonics/att/harmonics_att_np202_secondary.txt,"Guba Zapadnaya Litsa, Russia",69.4833,32.5,3
0f8ff885c198289b1f210bddeed29a4a,harmonics/att/harmonics_att_np202_secondary.txt,"Risør, Norway",58.7184,9.2404,4
0f8ff885c198289b1f210bddeed29a4a,harmonics/att/harmonics_att_np202_secondary.txt,"Porsgrunn, Norway",59.1336,9.6302,4
0f8ff885c198289b1f210bddeed29a4a,harmonics/att/harmonics_att_np202_secondary.txt,"Larvik, Norway",59.0417,10.0447,4
0f8ff885c198289b1f210bddeed29a4a,harmonics/att/harmonics_att_np202_secondary.txt,"Sandjefjord, Norway",59.1254,10.2276,4
15edb660fb2b73d770cf7a2ffde53b6a,harmonics/att/harmonics_att_np202_secondary.txt,"Kjeldebotn, Norway",68.4082,16.6728,2
15edb660fb2b73d770cf7a2ffde53b6a,harmonics/att/harmonics_att_np202_secondary.txt,"Kjøpsvik, Norway",68.0934,16.3595,2
24db30c4e7e1c8e7b097083b19ad6aee,harmonics/att/harmonics_att_np202_secondary.txt,"Guba Zelenetskaya Zapadnaya, Russia",69.3,33.75,2
24db30c4e7e1c8e7b097083b19ad6aee,harmonics/att/harmonics_att_np202_secondary.txt,"Bukhta Malyy Korabel'naya, Russia",69.5833,32.75,2
333e51c89129044233ceb8ea10dea0aa,harmonics/att/harmonics_att_np202_secondary.txt,"Kopervik, Norway",59.2839,5.3164,2
333e51c89129044233ceb8ea10dea0aa,harmonics/att/harmonics_att_np202_secondary.txt,"Kårstø, Norway",59.2708,5.4965,2
453a8c26bb2502578e14f4b21b012421,harmonics/att/harmonics_att_np202_secondary.txt,"Sunndalsøra, Norway",62.6833,8.55,2
453a8c26bb2502578e14f4b21b012421,harmonics/att/harmonics_att_np202_secondary.txt,"Molde, Norway",62.7333,7.1667,2
517332edc654463c4b7737514223c66f,harmonics/att/harmonics_att_np202_secondary.txt,"Laukvik, Norway",69.5604,17.8994,2
517332edc654463c4b7737514223c66f,harmonics/att/harmonics_att_np202_secondary.txt,"Skrollsvika, Norway",69.065,16.8158,2
568fe83d54d159cc9cd0690231e0eadd,harmonics/att/harmonics_att_np202_secondary.txt,"Bahía Espíritu Santo, Quintana Roo, Mexico",19.3333,-87.5,2
568fe83d54d159cc9cd0690231e0eadd,harmonics/att/harmonics_att_np202_secondary.txt,"Cabo Catoche, Quintana Roo, Mexico",21.6,-87.0833,2
72f99f5e823aad9a5d6d9fb860d91f84,harmonics/att/harmonics_att_np202_secondary.txt,"Komagfjord, Norway",70.2626,23.4096,2
72f99f5e823aad9a5d6d9fb860d91f84,harmonics/att/harmonics_att_np202_secondary.txt,"Bossekop (Alta), Norway",69.963,23.2315,2
911b1d5882ec425013cd683cc90e1b6c,harmonics/att/harmonics_att_np202_secondary.txt,"Kristiansand, Norway",58.1425,7.9869,2
911b1d5882ec425013cd683cc90e1b6c,harmonics/att/harmonics_att_np202_secondary.txt,"Grimstad, Norway",58.3391,8.5965,2
99b7542302569ae4290e583719287971,harmonics/att/harmonics_att_np202_secondary.txt,"Lukksund, Norway",60.0483,5.7065,2
99b7542302569ae4290e583719287971,harmonics/att/harmonics_att_np202_secondary.txt,"Ølen, Norway",59.6059,5.8046,2
9c4a2c977303568b6a087a21391f71e2,harmonics/att/harmonics_att_np202_secondary.txt,"Oyndarfjørður, Faroe Islands",62.2333,-6.8333,2
9c4a2c977303568b6a087a21391f71e2,harmonics/att/harmonics_att_np202_secondary.txt,"Fuglafjørður, Faroe Islands",62.2333,-6.8,2
aeddd2a0afa88cd3f3566edf684b213a,harmonics/att/harmonics_att_np202_secondary.txt,"Sortland, Norway",68.6986,15.4207,2
aeddd2a0afa88cd3f3566edf684b213a,harmonics/att/harmonics_att_np202_secondary.txt,"Eggum, Norway",68.3112,13.6795,2
b93480bd16766728a6e780240e35c1c2,harmonics/att/harmonics_att_np202_secondary.txt,"Landsort, Sweden",58.7449,17.8643,12
b93480bd16766728a6e780240e35c1c2,harmonics/att/harmonics_att_np202_secondary.txt,"Björn, Sweden",60.6388,17.986,12
b93480bd16766728a6e780240e35c1c2,harmonics/att/harmonics_att_np202_secondary.txt,"Draghällan (Sundsvall), Sweden",62.3397,17.4394,12
b93480bd16766728a6e780240e35c1c2,harmonics/att/harmonics_att_np202_secondary.txt,"Ratan, Sweden",63.9902,20.8913,12
b93480bd16766728a6e780240e35c1c2,harmonics/att/harmonics_att_np202_secondary.txt,"Yttergrund, Finland",61.9805,21.2946,12
b93480bd16766728a6e780240e35c1c2,harmonics/att/harmonics_att_np202_secondary.txt,"Helsinki, Finland",60.1667,24.9555,12
b93480bd16766728a6e780240e35c1c2,harmonics/att/harmonics_att_np202_secondary.txt,"Tallinn, Estonia",59.4493,24.7755,12
b93480bd16766728a6e780240e35c1c2,harmonics/att/harmonics_att_np202_secondary.txt,"Liepaja, Latvia",56.5333,20.9833,12
b93480bd16766728a6e780240e35c1c2,harmonics/att/harmonics_att_np202_secondary.txt,"Klaipeda (Memel), Lithuania",55.7269,21.0925,12
b93480bd16766728a6e780240e35c1c2,harmonics/att/harmonics_att_np202_secondary.txt,"Baltiysk, Russia",54.6386,19.8898,12
b93480bd16766728a6e780240e35c1c2,harmonics/att/harmonics_att_np202_secondary.txt,"Swinoujscie, Poland",53.9307,14.279,12
b93480bd16766728a6e780240e35c1c2,harmonics/att/harmonics_att_np202_secondary.txt,"Arkona, Germany",54.6833,13.4333,12
